famille;produit;cote_2026;derniere_vente;adj_min;adj_max;nb_adj;vivante;adjudications (date:prix);id
Tarragone;Chartreuse Tarragone 1944-1957;4130.0;2022-02-11;4130.0;4130.0;1;non;2022-02-11:4130;182451
Tarragone;Chartreuse Tarragone Jaune 1973-1983 75cl.;1043.0;2025-10-03;834.0;1132.0;4;oui;2024-08-02:834 | 2024-08-02:834 | 2025-04-18:954 | 2025-10-03:1132;178590
Tarragone;Chartreuse Tarragone Jaune 1982-1989;1072.8;2024-03-08;834.0;1416.0;4;non;2022-07-22:1416 | 2024-01-19:834 | 2024-03-08:1073 | 2024-03-08:1192;178591
Tarragone;Chartreuse Tarragone Jaune El Cumbre 1951-1960;2622.4;2026-03-13;2622.0;3422.0;2;oui;2023-02-03:3422 | 2026-03-13:2622;211290
Tarragone;Chartreuse Tarragone Jaune El Cumbre 1951-1960 50cl;1370.8;2025-07-18;954.0;1609.0;4;oui;2023-03-17:1593 | 2023-04-28:1371 | 2023-04-28:1609 | 2025-07-18:954;211291
Tarragone;Chartreuse Tarragone Jaune El Gruño 1965-1966;1072.8;2024-01-19;1073.0;1073.0;1;non;2024-01-19:1073;231111
Tarragone;Chartreuse Tarragone Jaune La Fabiola 1972-1973;2124.0;2023-02-03;2124.0;2124.0;1;non;2023-02-03:2124;212270
Tarragone;Chartreuse Tarragone Jaune La Seisenta 1960-1965;2301.0;2023-02-03;2301.0;2301.0;1;non;2023-02-03:2301;211630
Tarragone;Chartreuse Tarragone Jaune mise 1968;1251.6;2024-03-08;1252.0;1252.0;1;non;2024-03-08:1252;231181
Tarragone;Chartreuse Tarragone Verte 1973-1983;1370.8;2026-07-17;894.0;1371.0;4;oui;2024-10-04:894 | 2025-01-24:954 | 2025-03-14:1311 | 2026-07-17:1371;178589
Tarragone;Chartreuse Tarragone Verte 3cl.;33.38;2024-01-19;33.0;37.0;4;non;2024-01-19:33 | 2024-01-19:33 | 2024-01-19:37 | 2024-01-19:37;231109
Tarragone;Chartreuse Une Tarragone Jaune 1936-1941;3703.74;2023-02-03;3422.0;3422.0;1;non;2023-02-03:3422;211629
Tarragone;Chartreuse Une Tarragone Jaune Jadis 1932-1941 75cl.;3602.74;2025-07-18;2980.0;2980.0;1;oui;2025-07-18:2980;235139
Tarragone;Chartreuse Une Tarragone Verte 1936-1941;5960.04;2024-01-19;4768.0;4768.0;1;non;2024-01-19:4768;230666
Voiron (périodes anciennes);Chartreuse 10 years 1940 Vieillissement Exceptionnel One of 800;7740.83;2022-04-08;7080.0;7080.0;1;non;2022-04-08:7080;185809
Voiron (périodes anciennes);Chartreuse Jaune 1941-1951;3065.16;2023-02-03;2832.0;2832.0;1;non;2023-02-03:2832;211649
Voiron (périodes anciennes);Chartreuse Jaune 1941-1951 50cl.;3354.36;2021-10-22;3068.0;3068.0;1;non;2021-10-22:3068;174993
Voiron (périodes anciennes);Chartreuse Jaune 1951-1956;1192.0;2026-01-30;1192.0;1829.0;3;oui;2022-12-09:1829 | 2025-01-24:1430 | 2026-01-30:1192;208529
Voiron (périodes anciennes);Chartreuse Jaune 1956-1962;1935.22;2022-12-09;1770.0;1770.0;1;non;2022-12-09:1770;207889
Voiron (périodes anciennes);Chartreuse Jaune 1972-1982;720.55;2025-04-18;401.0;944.0;3;oui;2022-02-11:944 | 2022-02-11:401 | 2025-04-18:596;180536
Voiron (périodes anciennes);Chartreuse Verte 1941-1951;1788.0;2026-01-30;1430.0;1788.0;2;oui;2024-06-07:1430 | 2026-01-30:1788;231528
Voiron (périodes anciennes);Chartreuse Verte 1951-1956;1490.01;2024-06-07;1192.0;1192.0;1;non;2024-06-07:1192;231581
Voiron (périodes anciennes);Chartreuse Verte 1956-1962;1132.4;2026-01-30;1132.0;1192.0;2;oui;2025-10-03:1192 | 2026-01-30:1132;235538
Voiron (périodes anciennes);Chartreuse Verte 1956-1962 1.5L;2386.76;2022-04-08;2183.0;2183.0;1;non;2022-04-08:2183;184229
Voiron (périodes anciennes);Chartreuse Verte 1962-1966;1152.88;2025-11-14;954.0;1003.0;4;oui;2023-03-17:1003 | 2024-11-15:954 | 2024-11-15:954 | 2025-11-14:954;209453
Voiron (périodes anciennes);Chartreuse Verte 1972-1982;461.15;2025-04-18;381.0;477.0;4;oui;2023-07-21:429 | 2023-07-21:405 | 2023-07-21:477 | 2025-04-18:381;180535
Voiron (périodes anciennes);Chartreuse Verte 1982-1989;223.5;2026-03-13;153.0;453.0;4;oui;2022-02-11:153 | 2024-03-08:179 | 2025-10-03:262 | 2026-03-13:453;180301
VEP;Chartreuse Jaune V.E.P. Mise 1964;2383.77;2024-10-04;1907.0;1907.0;1;non;2024-10-04:1907;232483
VEP;Chartreuse Jaune V.E.P. Mise 1968;2086.01;2024-04-19;1669.0;1669.0;1;non;2024-04-19:1669;231391
VEP;Chartreuse Jaune V.E.P. Mise 1972 1L.;2017.54;2025-03-14;1669.0;1669.0;1;oui;2025-03-14:1669;234070
